close,epoch,high,low,open
108468.4766,2025-06-22 05:14:00,108593.7577,108468.4766,108557.8319
108482.6277,2025-06-22 05:15:00,108482.6277,108404.8254,108442.1874
108516.9714,2025-06-22 05:16:00,108574.6166,108472.793,108474.9664
108573.0088,2025-06-22 05:17:00,108585.3257,108479.7644,108508.9062
108549.2812,2025-06-22 05:18:00,108587.3062,108490.9998,108587.3062
108500.0373,2025-06-22 05:19:00,108598.372,108446.2815,108551.8286
108507.7958,2025-06-22 05:20:00,108562.1592,108425.7733,108497.236
108657.3002,2025-06-22 05:21:00,108669.4274,108475.4777,108505.1985
108724.5335,2025-06-22 05:22:00,108734.4542,108602.6656,108675.6205
108856.608,2025-06-22 05:23:00,108883.5559,108670.4986,108736.0061
108895.9191,2025-06-22 05:24:00,108924.7468,108860.7535,108872.8957
108893.2266,2025-06-22 05:25:00,109013.0201,108801.9651,108914.8038
108980.3306,2025-06-22 05:26:00,109010.1928,108879.2336,108879.2336
109039.5208,2025-06-22 05:27:00,109098.6961,108988.1275,108988.1275
108905.7884,2025-06-22 05:28:00,109029.1765,108864.2123,109029.1765
108882.906,2025-06-22 05:29:00,108898.4847,108724.3881,108898.4847
108879.252,2025-06-22 05:30:00,108936.0323,108846.1653,108870.5823
108614.5438,2025-06-22 05:31:00,108840.2124,108614.5438,108838.7393
108723.1946,2025-06-22 05:32:00,108741.1147,108572.0363,108585.9013
108708.6468,2025-06-22 05:33:00,108742.7299,108672.0464,108719.0357
108871.3002,2025-06-22 05:34:00,108873.6166,108728.5069,108729.4149
109153.2386,2025-06-22 05:35:00,109153.2386,108875.4499,108883.1853
109010.4917,2025-06-22 05:36:00,109133.1836,109010.4917,109130.1556
109054.3365,2025-06-22 05:37:00,109114.1856,108999.2084,109016.0398
109053.9041,2025-06-22 05:38:00,109162.1827,109017.8149,109062.3628
108964.7257,2025-06-22 05:39:00,109078.7483,108964.7257,109058.0751
109035.3966,2025-06-22 05:40:00,109066.8617,108941.9628,108947.6971
109019.4565,2025-06-22 05:41:00,109174.4521,109005.4755,109005.4755
108976.0849,2025-06-22 05:42:00,109095.8717,108962.7755,109015.067
108886.2552,2025-06-22 05:43:00,109008.5936,108875.5025,108946.6511
108865.8331,2025-06-22 05:44:00,108893.3602,108835.6753,108886.5055
108740.9069,2025-06-22 05:45:00,108844.412,108740.9069,108833.3004
108775.8835,2025-06-22 05:46:00,108950.4118,108753.1788,108783.2753
108749.5325,2025-06-22 05:47:00,108813.3803,108720.8314,108798.3242
108881.2121,2025-06-22 05:48:00,108888.3422,108761.4357,108761.4357
108856.9604,2025-06-22 05:49:00,108931.2613,108826.6159,108890.054
108845.9269,2025-06-22 05:50:00,108970.0475,108799.4987,108825.4914
108842.5222,2025-06-22 05:51:00,108934.0259,108842.5222,108891.7689
108906.8023,2025-06-22 05:52:00,108952.1487,108817.7658,108860.365
109185.8631,2025-06-22 05:53:00,109216.2961,108916.1505,108916.1505
109265.503,2025-06-22 05:54:00,109303.6691,109171.3778,109199.6016
109321.6794,2025-06-22 05:55:00,109444.4724,109276.5058,109279.24
109404.0536,2025-06-22 05:56:00,109404.0536,109207.579,109316.2681
109533.412,2025-06-22 05:57:00,109568.7836,109382.6967,109404.5563
